cod_cns;descricao;idtipo;assunto;resposta;cadData;aadResp
17.84-8;Bom dia! Prezada, Dra. Helena, foi apresentado um testamento cerrado para lavratura, porém nós nunca fizemos este serviço. Conforme a Lei o testamento cerrado é aquele escrito e assinado pelo próprio testador e aprovado pelo tabelião, na presen...;1;Testamento;Prezada Ediclécia,   Como você bem pontuou, o testamento cerrado é aquele escrito pelo testador, ou por outra pessoa a seu rogo, e por aquele assinado, deve ser apresentado ao Tabelião de Notas, na presença de duas testemunhas com a declaraç...;25/06/2019 11:10;28/06/2019 16:44
17.84-8;Cartorio Paula Pessoa <cartoriopaulapessoa@gmail.com>sex, 24 de mai 09:51 para Jurídico, Anoreg, Presidência Boa Tarde! Prezada Dra. Helena,   Recebemos por meio do PEX a Portaria de nº 44/2019/CGJCE, publicada no DO no dia 15/05/2019, ...;1;SELO DIGITAL;Estimada Edclécia, bom dia! Já houve uma outra Portaria alterado essas datas para implantação do selo digital, a saber a de Nº 58/2019 CGJCE de 28 de junho de 2019, senão vejamos: Assim, o novo prazo para adequação seria até o dia 11/11/20...;02/07/2019 14:07;03/07/2019 11:33
17.84-8;Prezados Sres. Bom dia! Estou com uma dúvida e queria  opinião de vocês. Um Cliente está criando uma Igreja aqui na cidade, o Contador vai mandar o Estatuto e a Ata de Fundação para registro. A pergunta é: Ele tem que mandar tudo separado,...;3;Dúvidas sobre o RPJ;De fato, o tema ainda não encontrou unanimidade, haja vista que alguns entendem que a Ata de Fundação é tão somente documento que compõe o conjunto de documentos necessários ao REGISTRO da pessoa jurídica em questão, mas há quem entenda que ess...;11/07/2019 10:31;28/08/2019 08:10
17.70-7;Boa tarde, Recebi na Serventia o pedido de Registro de Partilha de divórcio consensual feito judicialmente. Verificando a documentação percebi o seguinte: - Que não consta AVALIAÇÃO dos imóveis (consta apenas o valor da aquisição do imóv...;1;REGISTRO DE PARTILHA DE DIVORCIO;"&#8203;Resposta: No divórcio, os interessados deverão atribuir valor aos imóveis, a fim de que, na partilha, recolham eventuais tributos, caso esta seja efetuada desigualmente: no caso de haver torna, recolher o ITBI; sem que haja pagamento, será con...";16/09/2019 14:11;09/10/2019 11:56
17.70-7;Bom dia, Recebi nesta serventia uma Decisão Judicial autorizando a transferência de imóvel em favor do advogado de uma das partes constantes em um divórcio consensual, à título de pagamento de honorários advocatícios. Informei que primeiro...;1;DECISÃO JUDICIAL PARA TRANSFERÊNCIA DE IMÓVEL;Resposta: A Lei de Registros Públicos, em seu art. 222, elenca os títulos admitidos a registro, sendo que os títulos judiciais apontados na alínea “d” são:  “cartas de sentença, mandados, formais de partilha e certidões extraídos de autos d...;19/09/2019 10:03;09/10/2019 11:57
19.80-2;BOM DIA, A MINHA PERGUNTA É SOBRE O CUMPRA-SE DO JUIZ CORREGEDOR PERMANENTE DA MINHA CIDADE, NOS MANDADOS DE AVERBAÇÕES QUE CHEGAM DE OUTRAS CIDADES E OUTROS ESTADOS. BOM, ATÉ A PRESENTE DATA TODOS OS MANDADOS DE AVERBAÇÕES SEJA, DE DIVORCIO, INT...;2;SOBRE AVERBAÇÃO, COM O CUMPRA-SE DO JUIZ CORREGEDOR PERMANENTE;Sobre o assunto, temos duas passagens em nosso Provimento 08/2014 da CGJ/CE: Art. 219 – O ato constitutivo da adoção decorrente sempre de sentença judicial deverá ser registrado no Ofício do Registro Civil da comarca onde tramitou o processo, m...;27/09/2019 10:31;01/10/2019 13:58
19.31-5;Senhora Presidente,  Veja o caso caso abaixo e como me orientar: Recebi um requerimento de um cliente para cancelar uma hipoteca decorrente de uma ESCRITURA PÚBLICA DE CONTRATO DE  ABERTURA DE CRÉDITO FIXO, COM GARANTIA REAL, datada de 24.10.1979...;1;CANCELAMENTO DE HIPOTECA - ART. 1.485 DO CC e 238 da LRP;Boa tarde!! A pergunta foi respondida diretamente à Sra. Bernadete, que entrou em contato comigo na sexta-feira passada por whatsapp. Abs,;20/11/2019 14:43;26/11/2019 10:00
19.65-3;APLICA SELO NA ENTRADA DO TITULO SENDO NA OPÇÃO CUSTAS POSTEGADAS? AO APLICAR O SELO NA ENTRADA DO TÍTULO,  NA SOLUÇÃO DO MESMO É OBRIGATÓRIO APLICAR OUTRO SELO?;5;CUSTAS POSTEGADAS;O SELO DEVE SER APLICADO SEMPRE NO MOMENTO DA PRÁTICA DO ATO. NA ENTRADA DO TÍTULO, ELE É APONTADO , ELE RECEBE OS SELOS DE APONTAMENTO. NA SOLUÇÃO DO TÍTULO, QUAL SEJA, NA DESISTÊNCIA OU NO PROTESTO, SE APLICARÁ OS SELOS DA DESISTÊNCIA OU DO ...;04/03/2020 07:05;29/04/2020 09:45
15.68-5;Prezados senhores, boa tarde. Tenho uma dúvida: Se por ventura o tabelião estiver viajando e precisar fazer a abertura de um livro, assim como rubricá-lo e encerrar o livro anterior,o substituto pode fazer a abertura do livro ,rubricar e encerrar? ...;5;Abertura de Livro;Prezado colega, A princípio, via de regra, os escreventes, incluindo os escreventes substitutos designados, somente poderão praticar os atos autorizados pelo notário e/ou registrador, nos termos do art. 21, parágrafo 3º da Lei 8935/94. Contudo...;01/04/2020 16:09;17/04/2020 15:51
15.68-5;Prezados doutores, boa tarde. Surgiu uma dúvida aqui no Cartório de Registro de Imóveis. A Motocedro , com o CNPJ. da filial, tem um imóvel registrado nesta Serventia. Já a Motocedro, com o CNPJ. da matriz nos apresentou uma escritura de consti...;1;Registro de Imóveis de Empresas - matriz e filial;Juridicamente fala-se que a Matriz de uma empresa é aquela que tem poder de mando ou de chefia sobre suas “filhas”, ou filiais. Doutrina e jurisprudência entendem que as filiais de uma pessoa jurídica se encontram em dependência à matriz ...;01/04/2020 16:11;08/05/2020 16:50
19.86-9;Boa tarde! Queria saber se a instituição emite carteira de identificação para escrevente substituto?;2;Carteira de identificação;Boa Tarde, Ainda não estamos emitindo carteirinha da ANOREG/CE.;18/05/2020 13:10;18/05/2020 17:06
19.53-9;Bom dia, realizei a inscrição para o curso on-line sobre o provimento 88, más até o momento não recebi o meu acesso, portanto, gostaria de saber quando estará disponível? Atenciosamente, Francieudo de Souza Barbosa.;1;Curso Provimento 88;Boa Tarde, O senhor saberia informar a data de inscrição no curso para que possamos ver juntamente com a faculdade?;16/06/2020 08:24;22/06/2020 14:06
15.68-5;Bom dia, Drª Helena, para lavratura de escritura pública de imóvel urbano ou rural, pode dispensar a CND da Receita Federal dos vendedores sendo pessoa física ou jurídica? nos termos do art. 1.º do Decreto Federal 93.240, de 09/09/86?;1;Dispensa da CND;  Prezado(a) Colega, Nos termos do art. 17, incisos I, da Portaria Conjunta RFB/PGFN n. 1751 de 2/10/14, na alienação ou oneração, a qualquer título, de bem imóvel ou direito a ele relativo, que envolva EMPRESA que explore exclusivament...;22/06/2020 10:22;26/06/2020 12:13
19.53-9;Bom dia, informo que ainda não recebi o acesso ao curso do provimento 88, já está chegando ao final do prazo que é até o dia 30/06. Solicito urgência na resolução para não ficar prejudicado.;5;Curso Provimento 88;Boa Tarde, O senhor não recebeu ainda? Favor nos enviar mensagem no watsapp da anoreg. 085 998630065;26/06/2020 09:33;23/07/2020 12:48
15.68-5;Bom dia. Recebi uma ata de eleição de diretório municipal de um partido para registro, só que o estatuto não esta registrado aqui. O cliente alega que o estatuto é registrado somente em Brasília e que não poderia registra-lo aqui para que eu pode...;3;REGISTRO DE DIRETÓRIO MUNICIPAL;Prezado Filiado, Segundo Orientação Técnica do IRTDBJ-Brasil, que pode ser acessado pelo link abaixo, para o registro de Diretório Municipal deverão ser apresentadas ao RCPJ nos termos do art. 10, parágrafo 2, da Lei 9096/95:   Ata de aprovação...;17/07/2020 10:19;28/07/2020 14:38
19.80-2;ESTOU QUERENDO COLOCAR NA PLACA DO MEU CARTÓRIO O SÍMBOLO DA JUSTIÇA. GOSTARIA DE SABER SE EXISTE ALGUMA ILEGALIDADE.;5;SOBRE O SIMBOLO DA JUSTIÇA;Prezado Filiado, Em face do art. 8 do Provimento 08/214/CGJCE, que veda quaisquer referências, pelos serviços extrajudiciais, a símbolos ou expressões que induzam ou sugiram a direta gerência ou mesmo a integração orgânico funcional dos cartóri...;22/07/2020 15:04;28/07/2020 14:30
